description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Rare Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1			100					4	"belt,rar,upg"	jew	r07	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
1 Rare Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1			100					4	"shie,rar,upg"	jew	r06	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
1 Rare Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1			100					4	"tors,rar,upg"	jew	r10	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
1 Rare Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1			100					4	"amul,rar"	jew	r11	gpr				"usetype,crf"			100	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
1 Rare Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1			100					4	"ring,rar"	jew	r12	gpr				"usetype,crf"			100	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
1 Rare Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1			100					4	"weap,rar"	jew	r09	gpr				"usetype,crf"			100	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
1 Rare Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1			100					4	"helm,rar,upg"	jew	r04	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
1 Rare Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1			100					4	"boot,rar,upg"	jew	r10	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
1 Rare Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1			100					4	"glov,rar,upg"	jew	r09	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Rare Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1			100					4	"belt,rar,upg"	jew	r06	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Rare Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1			100					4	"shie,rar,upg"	jew	r05	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
1 Rare Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1			100					4	"tors,rar,upg"	jew	r07	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Rare Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1			100					4	"amul,rar"	jew	r08	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Rare Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1			100					4	"ring,rar"	jew	r11	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
1 Rare Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1			100					4	"weap,rar"	jew	r03	gpv				"usetype,crf"			100	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
1 Rare Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1			100					4	"helm,rar,upg"	jew	r06	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
1 Rare Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1			100					4	"boot,rar,upg"	jew	r09	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
1 Rare Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1			100					4	"glov,rar,upg"	jew	r08	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
1 Rare Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1			100					4	"belt,rar,upg"	jew	r07	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
1 Rare Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1			100					4	"shie,rar,upg"	jew	r04	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
1 Rare Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1			100					4	"tors,rar,upg"	jew	r05	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
1 Rare Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1			100					4	"amul,rar"	jew	r10	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
1 Rare Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1			100					4	"ring,rar"	jew	r11	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
1 Rare Weapon + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1			100					4	"weap,rar"	jew	r12	gpg				"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
1 Rare Helm + 1 Jewel + 1 Shael Rune + 1 Perfect Topaz -> Speed Helm	1			100					4	"helm,rar,upg"	jew	r13	gpy				"usetype,crf"			100	balance1			10	20	move1			5	10	ac			10	20																																																																					0
1 Rare Boots + 1 Jewel + 1 Ko Rune + 1 Perfect Topaz -> Speed Boots	1			100					4	"boot,rar,upg"	jew	r18	gpy				"usetype,crf"			100	move1			20	30	dodge-all			5	10	ac			15	25																																																																					0
1 Rare Gloves + 1 Jewel + 1 Tal Rune + 1 Perfect Topaz -> Speed Gloves	1			100					4	"glov,rar,upg"	jew	r07	gpy				"usetype,crf"			100	swing1			10	15	dmg-min			5	10	dex			2	5																																																																					0
1 Rare Belt + 1 Jewel + 1 Nef Rune + 1 Perfect Topaz -> Speed Belt	1			100					4	"belt,rar,upg"	jew	r04	gpy				"usetype,crf"			100	balance1			10	15	stam			20	30	str			5	10																																																																					0
1 Rare Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Topaz -> Speed Shield	1			100					4	"shie,rar,upg"	jew	r06	gpy				"usetype,crf"			100	block1			20	30	block			5	5	ac			15	25																																																																					0
1 Rare Chest + 1 Jewel + 1 Lum Rune + 1 Perfect Topaz -> Speed Body	1			100					4	"tors,rar,upg"	jew	r17	gpy				"usetype,crf"			100	balance1			10	20	res-all			10	15	ac			20	30																																																																					0
1 Rare Amulet + 1 Jewel + 1 Ort Rune + 1 Perfect Topaz -> Speed Amulet	1			100					4	"amul,rar"	jew	r09	gpy				"usetype,crf"			100	cast1			5	10	balance1			10	15	mana			10	20																																																																					0
1 Rare Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Topaz -> Speed Ring	1			100					4	"ring,rar"	jew	r11	gpy				"usetype,crf"			100	swing1			5	5	att			15	50	dex			5	10																																																																					0
1 Rare Weapon + 1 Jewel + 1 Sol Rune + 1 Perfect Topaz -> Speed Weapon	1			100					4	"weap,rar"	jew	r12	gpy				"usetype,crf"			100	swing1			15	25	deadly			5	10	att%			5	10																																																																					0
1 Rare Helm + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Helm	1			100					4	"helm,rar,upg"	jew	r20	gpw				"usetype,crf"			100	mag%			10	20	gold%			5	10																																																																										0
1 Rare Boots + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Boots	1			100					4	"boot,rar,upg"	jew	r20	gpw				"usetype,crf"			100	gold%			15	20	move1			10	10																																																																										0
1 Rare Gloves + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Gloves	1			100					4	"glov,rar,upg"	jew	r20	gpw				"usetype,crf"			100	mag%			10	15	dex			2	5																																																																										0
1 Rare Belt + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Belt	1			100					4	"belt,rar,upg"	jew	r20	gpw				"usetype,crf"			100	gold%			10	20	regen-mana			5	10																																																																										0
1 Rare Shield + 1 Jewel + 1 Ko Rune + 1 Perfect Diamond -> Treasure Shield	1			100					4	"shie,rar,upg"	jew	r18	gpw				"usetype,crf"			100	mag%			5	10	res-all			5	10																																																																										0
1 Rare Chest + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Body	1			100					4	"tors,rar,upg"	jew	r24	gpw				"usetype,crf"			100	mag%			20	25	gold%			10	15																																																																										0
1 Rare Amulet + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Amulet	1			100					4	"amul,rar"	jew	r24	gpw				"usetype,crf"			100	gold%			20	30	mag%			5	10																																																																										0
1 Rare Ring + 1 Jewel + 1 Lem Rune + 1 Perfect Diamond -> Treasure Ring	1			100					4	"ring,rar"	jew	r18	gpw				"usetype,crf"			100	mag%			10	15	gold%			10	15																																																																										0
1 Rare Weapon + 1 Jewel + 1 Ist Rune + 1 Perfect Diamond -> Treasure Weapon	1			100					4	"weap,rar"	jew	r24	gpw				"usetype,crf"			100	gold%			15	20	dmg%			20	30																																																																										0
1 Rare Helm + 1 Jewel + 1 Dol Rune + 1 Perfect Skull -> Shadow Helm	1			100					4	"helm,rar,upg"	jew	r14	skz				"usetype,crf"			100	gethit-skill		267	1	10	regen-mana			3	5	manasteal			2	4																																																																					0
1 Rare Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Skull -> Shadow Boots	1			100					4	"boot,rar,upg"	jew	r09	skz				"usetype,crf"			100	lifesteal			1	2	move1			10	15	openwounds			5	8																																																																					0
1 Rare Gloves + 1 Jewel + 1 Tal Rune + 1 Perfect Skull -> Shadow Gloves	1			100					4	"glov,rar,upg"	jew	r07	skz				"usetype,crf"			100	deadly			5	5	manasteal			2	4	dex			3	5																																																																					0
1 Rare Belt + 1 Jewel + 1 Eth Rune + 1 Perfect Skull -> Shadow Belt	1			100					4	"belt,rar,upg"	jew	r05	skz				"usetype,crf"			100	regen-mana			3	5	res-mag			3	5	openwounds			3	6																																																																					0
1 Rare Shield + 1 Jewel + 1 Ko Rune + 1 Perfect Skull -> Shadow Shield	1			100					4	"shie,rar,upg"	jew	r18	skz				"usetype,crf"			100	thorns			12	24	res-mag			5	10	red-mag			3	3																																																																					0
1 Rare Chest + 1 Jewel + 1 Fal Rune + 1 Perfect Skull -> Shadow Body	1			100					4	"tors,rar,upg"	jew	r19	skz				"usetype,crf"			100	heal-kill			5	10	red-mag			2	4	curse-res			3	5																																																																					0
1 Rare Amulet + 1 Jewel + 1 Lum Rune + 1 Perfect Skull -> Shadow Amulet	1			100					4	"amul,rar"	jew	r17	skz				"usetype,crf"			100	manasteal			2	4	deadly			5	5	regen-mana			3	5																																																																					0
1 Rare Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Skull -> Shadow Ring	1			100					4	"ring,rar"	jew	r12	skz				"usetype,crf"			100	lifesteal			1	2	res-mag			3	5	openwounds			5	5																																																																					0
1 Rare Weapon + 1 Jewel + 1 Um Rune + 1 Perfect Skull -> Shadow Weapon	1			100					4	"weap,rar"	jew	r22	skz				"usetype,crf"			100	deadly			5	15	dmg%			25	25	openwounds			5	10																																																																					0
TOKENS																																																																																																								0
1 Magic Full Helm + Crafting Token of Hit Power -> Hit Power Helm	1			100					2	"helm,mag,upg"	ct1						"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
1 Magic Chain Boots + Crafting Token of Hit Power -> Hit Power Boots	1			100					2	"boot,mag,upg"	ct1						"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
1 Magic Chain Gloves + Crafting Token of Hit Power -> Hit Power Gloves	1			100					2	"glov,mag,upg"	ct1						"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Magic Heavy Belt + Crafting Token of Hit Power -> Hit Power Belt	1			100					2	"belt,mag,upg"	ct1						"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
1 Magic Gothic Shield + Crafting Token of Hit Power -> Hit Power Shield	1			100					2	"shie,mag,upg"	ct1						"usetype,crf"			100	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
